Description,Quantity
assorted tutti frutti round box,1.0
flamingo lights,1.0
tea time cake stand in gift box,1.0
cruk commission,1.0
cream sweetheart trays,1.0
cream sweetheart shelf + hooks,1.0
cream sweetheart magazine rack,1.0
porcelain hanging bell small,1.0
vintage gold tinsel reel,1.0
sweetheart key cabinet,1.0
blue flying singing canary,1.0
pink large jeweled photoframe,1.0
woolly hat sock glove advent string,1.0
white cherry lights,1.0
antique lily fairy lights,1.0
samples,0.9682539682539683
amazon fee,0.9411764705882353
blue padded soft mobile,0.75
black cherry lights,0.6666666666666666
pink cherry lights,0.6666666666666666
