Description,Revenue,CumulativeRevenue,CumulativeShare
regency cakestand 3 tier,174484.74,174484.74,0.01693359348815498
"paper craft , little birdie",168469.6,342954.33999999997,0.033283422828600875
white hanging heart t-light holder,106292.77,449247.11,0.043599044457804416
party bunting,99504.33,548751.44,0.053255853841428585
jumbo bag red retrospot,94340.05,643091.49,0.06241147430630257
medium ceramic top storage jar,81700.92000000001,724792.41,0.07034047810851628
rabbit night light,66964.99,791757.4,0.07683937261698942
paper chain kit 50's christmas,64952.29,856709.6900000001,0.08314293632682877
assorted colour bird ornament,59094.93,915804.6200000001,0.08887804830184146
chilli lights,54117.76,969922.3800000001,0.09413013022218322
spotty bunting,42548.130000000005,1012470.5100000001,0.09825938953220181
jumbo bag pink polkadot,42436.24,1054906.7500000002,0.10237779001424846
black record cover frame,40652.13,1095558.8800000001,0.10632304415995557
picnic basket wicker 60 pieces,39619.5,1135178.3800000001,0.11016808245501768
doormat keep calm and come in,38166.64,1173345.02,0.11387212194046926
set of 3 cake tins pantry design,38158.39,1211503.41,0.11757536077053816
jam making set with jars,37128.88,1248632.2899999998,0.12117868654327042
wood black board ant white finish,36030.22,1284662.5099999998,0.12467538831082207
lunch bag red retrospot,35752.01,1320414.5199999998,0.12814509003788688
popcorn holder,34298.87,1354713.39,0.1314737657815827
victorian glass hanging t-light,33187.97,1387901.3599999999,0.13469462963865744
hot water bottle tea and sympathy,33002.590000000004,1420903.95,0.13789750252666044
paper chain kit vintage christmas,32873.340000000004,1453777.29,0.14108783181366805
chocolate hot water bottle,32866.18,1486643.47,0.1442774662288526
jumbo bag strawberry,32802.53,1519446.0,0.14746092346644832
heart of wicker small,32107.8,1551553.8,0.15057695775689103
set of 3 regency cake tins,31177.95,1582731.75,0.15360275090701994
jumbo storage bag suki,30770.12,1613501.87,0.1565889645074858
alarm clock bakelike red,30701.12,1644202.9900000002,0.15956848171747828
jumbo bag apples,30475.65,1674678.6400000001,0.16252611725848484
heart of wicker large,30139.41,1704818.05,0.1654511209975673
charlotte bag suki design,29277.95,1734096.0,0.16829252078683557
roses regency teacup and saucer,29095.27,1763191.27,0.17111619163970276
hot water bottle keep calm,28842.550000000003,1792033.82,0.17391533623459277
jumbo shopper vintage red paisley,28634.95,1820668.77,0.17669433342858026
natural slate heart chalkboard,28147.960000000003,1848816.73,0.17942606866319646
jumbo  bag baroque black white,28092.2,1876908.93,0.1821523924379171
doormat red retrospot,28082.54,1904991.47,0.18487777871797145
jumbo bag alphabet,27890.170000000002,1932881.64,0.18758449565548435
alarm clock bakelike green,27196.53,1960078.17,0.1902238954294039
rotating silver angels t-light hldr,26463.829999999998,1986542.0,0.19279218730042735
red  harmonica in box,26331.58,2012873.58,0.19534764442304356
recipe box pantry yellow design,26240.600000000002,2039114.1800000002,0.19789427201514864
gin + tonic diet metal sign,25836.57,2064950.7500000002,0.2004016888443124
spaceboy lunch box,25740.469999999998,2090691.2200000002,0.20289977925138206
jam making set printed,25660.98,2116352.2,0.20539015522252818
doormat union flag,25609.6,2141961.8000000003,0.20787554480900006
please one person metal sign,25290.58,2167252.3800000004,0.21032997377969206
regency teapot roses,24918.93,2192171.3100000005,0.21274833443850838
vintage union jack bunting,24542.83,2216714.1400000006,0.215130194916788
jumbo bag vintage doily,24522.36,2241236.5000000005,0.21751006879922719
scottie dog hot water bottle,24509.84,2265746.3400000003,0.2198887276264674
set of 6 spice tins pantry design,24483.66,2290230.0000000005,0.2222648457072933
round snack boxes set of4 woodland,24438.620000000003,2314668.6200000006,0.2246365926949754
doormat new england,24292.84,2338961.4600000004,0.22699419185942263
baking set 9 piece retrospot,24239.72,2363201.1800000006,0.22934663577369674
red toadstool led night light,23932.98,2387134.1600000006,0.23166931083559697
doormat fairy cake,23888.81,2411022.9700000007,0.23398769923710286
