Description,Revenue
regency cakestand 3 tier,174484.74
"paper craft , little birdie",168469.6
white hanging heart t-light holder,106292.77
party bunting,99504.33
jumbo bag red retrospot,94340.05
medium ceramic top storage jar,81700.92000000001
rabbit night light,66964.99
paper chain kit 50's christmas,64952.29
assorted colour bird ornament,59094.93
chilli lights,54117.76
spotty bunting,42548.130000000005
jumbo bag pink polkadot,42436.24
black record cover frame,40652.13
picnic basket wicker 60 pieces,39619.5
doormat keep calm and come in,38166.64
set of 3 cake tins pantry design,38158.39
jam making set with jars,37128.88
wood black board ant white finish,36030.22
lunch bag red retrospot,35752.01
popcorn holder,34298.87
